,Zomato URL,Name of Restaurant,Address,Cuisine,Price for 2,Dining Rating,Dining Rating Count
27,https://www.zomato.com/chennai/midnight-madness-adyar,MIDNIGHT MADNESS," 1\/1, F-3, 1st Floor, Sindhuja Complex, 29th Cross Street, Indira Nagar, Adyar, Chennai",['Italian'],450.0,4.1,625
28,https://www.zomato.com/chennai/hotel-crescent-nungambakkam,HOTEL CRESCENT," 309, Valluvar Kottam High Road, Nungambakkam, Chennai","['Chettinad', ' Chinese', ' North Indian', ' Kebab', ' Biryani']",500.0,4.3,1030
29,https://www.zomato.com/chennai/zaitoon-royapettah,ZAITOON," 35, Woods Road., Royapettah, Chennai","['North Indian', ' Arabian', ' Chinese']",900.0,4.1,1118
30,https://www.zomato.com/chennai/nithya-amirtham-mylapore,NITHYA AMIRTHAM," 39, North Mada Street, Near Kapaleeswarar Temple, Mylapore, Chennai","['South Indian', ' North Indian', ' Chinese']",500.0,4.2,403
31,https://www.zomato.com/chennai/shri-balaajee-bhavan-chromepet,SHRI BALAAJEE BHAVAN," 412/07, Thoraipakam Road Over Bridge, Chromepet, Chennai","['South Indian', ' North Indian']",300.0,4.3,602
32,https://www.zomato.com/chennai/kakada-ramprasad-kilpauk,KAKADA RAMPRASAD," Ormes Road, Sylvan Lodge Colony, Kilpauk, Chennai","['Mithai', ' Street Food', ' North Indian']",450.0,4.3,455
33,https://www.zomato.com/chennai/rasavid-1-velachery,RASAVID," 55 C, Velachery By-Pass Road, Sankaran Avenue, Velachery, Chennai","['Andhra', ' Hyderabadi']",800.0,3.9,350
34,https://www.zomato.com/chennai/buhari-chromepet,BUHARI," Near Vetri Theatre, Chromepet, Chennai","['Biryani', ' Arabian', ' North Indian', ' Chinese', ' Desserts', ' Beverages']",800.0,3.5,646
35,https://www.zomato.com/chennai/dominos-pizza-kolathur,DOMINO'S PIZZA," 2, Ground Floor, Valavan Nagar, Kolathur, Chennai","['Pizza', ' Fast Food']",400.0,4.0,429
36,https://www.zomato.com/chennai/shree-mithai-chetpet,SHREE MITHAI," 18, Dr TV Road, Chetpet, Chennai","['Mithai', ' Street Food', ' Fast Food']",300.0,4.6,1085
37,https://www.zomato.com/chennai/new-andhra-meals-hotel-valasaravakkam,NEW ANDHRA MEALS HOTEL," 6, Arcot Road, Valasaravakkam, Chennai","['Andhra', ' Chinese', ' South Indian', ' North Indian', ' Biryani']",600.0,3.9,704
38,https://www.zomato.com/chennai/punjabi-nation-guindy,PUNJABI NATION," 15, GST Road, Guindy, Chennai","['North Indian', ' Chinese']",700.0,4.0,712
39,https://www.zomato.com/chennai/krishnas-dosa-kadai-mogappair,KRISHNA'S DOSA KADAI," 40, Nolambur, Phase - 1, Mogappair, Chennai","['South Indian', ' North Indian', ' Andhra', ' Chinese']",350.0,4.2,692
40,https://www.zomato.com/chennai/al-sham-1-potheri,AL SHAM," 1, Pillayar Koil Street, Near SRM University, Potheri, Kanchipuram District, Chennai","['Chinese', ' North Indian', ' Kerala']",750.0,3.9,601
41,https://www.zomato.com/chennai/orange-wok-nungambakkam,ORANGE WOK," 11, 1st Floor, Khader Nawaz Khan Road, Nungambakkam, Chennai","['Malaysian', ' Asian', ' Chinese']",1000.0,4.2,774
42,https://www.zomato.com/chennai/ghuma-ghumalu-navallur,GHUMA GHUMALU," 1/398, Rajiv Gandhi Salai, OMR, Navalur, Chennai","['Chinese', ' South Indian', ' Biryani', ' Andhra']",500.0,4.2,1059
43,https://www.zomato.com/chennai/kps-ambur-biriyani-mogappair,KPS AMBUR BIRIYANI," 6/20, Venugopal Street, Mogappair, Chennai",['Biryani'],250.0,3.6,409
44,https://www.zomato.com/chennai/pedrenos-mylapore,PEDRENO'S," 113/114, PS Sivaswami Salai, Mylapore, Chennai","['Pizza', ' American', ' Italian']",1200.0,4.3,946
45,https://www.zomato.com/chennai/madras-biryani-perambur,MADRAS BIRYANI," 105, EH Road, Sharma Nagar, Vyasarpadi, Perambur, Chennai","['Biryani', ' Mughlai', ' Fast Food', ' South Indian']",400.0,4.0,559
46,https://www.zomato.com/chennai/palmshore-egmore,PALMSHORE," 99/59, Pantheon Road, Opposite Museum, Egmore, Chennai","['North Indian', ' Chinese', ' Arabian', ' BBQ', ' Biryani', ' Beverages']",1000.0,4.4,2162
47,https://www.zomato.com/chennai/hotel-sri-vairam-1-porur,HOTEL SRI VAIRAM," 5/24, Karambakkam, Porur, Chennai","['Biryani', ' South Indian', ' Chinese', ' North Indian']",300.0,4.0,523
48,https://www.zomato.com/chennai/sea-emperor-madipakkam,SEA EMPEROR," 11,12 & 13, Velachery Main Road, Ram Nagar, Madipakkam, Chennai","['Chinese', ' Arabian', ' North Indian', ' Seafood']",900.0,3.8,602
49,https://www.zomato.com/chennai/andhikkadai-velachery,ANDHIKKADAI," 20, Dhandeeswaram Main Road, Velachery, Chennai",['South Indian'],200.0,4.6,908
50,https://www.zomato.com/chennai/paradise-biryani-thiruvanmiyur,PARADISE BIRYANI," 72, Block 14, Dr. Muthulakshmi Salai, LB Road, Thiruvanmiyur, Chennai","['Biryani', ' North Indian', ' Kebab', ' Rolls']",900.0,4.2,1082
51,https://www.zomato.com/chennai/a2b-adyar-ananda-bhavan-velachery,A2B - ADYAR ANANDA BHAVAN," No. 37F, Velachery Main Road, Velachery, Chennai","['South Indian', ' North Indian', ' Chinese', ' Fast Food', ' Mithai']",600.0,3.6,565
52,https://www.zomato.com/chennai/copper-kitchen-saligramam,COPPER KITCHEN," 5, Arunachalam Road, Opposite Prasad Studio, Saligramam, Chennai","['North Indian', ' Chinese', ' Chettinad', ' Seafood']",1000.0,4.2,2275
53,https://www.zomato.com/chennai/fazari-chromepet,FAZARI," 15, CLC Works Road, Near Balaji Medical College, Chromepet, Chennai",['Arabian'],750.0,4.2,1288
54,https://www.zomato.com/chennai/guntur-gongura-sholinganallur,GUNTUR GONGURA," 293/A, IT Express Way, Beside Swensens Building, Sholinganallur Signal, Sholinganallur, Chennai","['Biryani', ' Andhra', ' North Indian', ' Chinese']",500.0,4.1,2449
55,https://www.zomato.com/chennai/andhra-ruchulu-porur,ANDHRA RUCHULU," Shop 2, 28/B, Mount Poonamalee Road, Opposite DLF, Porur, Chennai","['Biryani', ' Andhra', ' North Indian', ' Chinese', ' South Indian']",300.0,4.1,835
56,https://www.zomato.com/chennai/brownie-heaven-royapettah,BROWNIE HEAVEN," 193, Peters Road, Opposite New College, Royapettah, Chennai","['Bakery', ' Desserts', ' Beverages']",350.0,4.9,842
57,https://www.zomato.com/chennai/hotel-junior-kuppanna-t-nagar,HOTEL JUNIOR KUPPANNA," 4, Kannaiya Street, North Usman Road, Near Reliance Fresh, T. Nagar, Chennai","['South Indian', ' Chinese', ' Kerala', ' Tamil']",700.0,4.3,1009
58,https://www.zomato.com/chennai/mezze-alwarpet,MEZZE," Abhinav Center, Old Number 19, New Number 4, Co-operative Colony, Off Chamiers Road, Alwarpet, Chennai",['Middle Eastern'],700.0,4.7,1152
59,https://www.zomato.com/chennai/pantry-dor-anna-nagar-east,PANTRY D'OR," 21/11, J Block, 6th Avenue Main Road, Anna Nagar East, Chennai","['Continental', ' American', ' Italian', ' Desserts', ' Beverages']",750.0,4.4,2485
60,https://www.zomato.com/chennai/maggevala-curly-cravings-kilpauk,MAGGEVALA - CURLY CRAVINGS," 62C, Ormes Road, Kilpauk, Chennai","['Fast Food', ' Street Food', ' Beverages']",400.0,4.0,731
61,https://www.zomato.com/chennai/amadora-gourmet-ice-cream-sorbet-nungambakkam,AMADORA GOURMET ICE CREAM & SORBET," 23, Wallace Garden, 3rd Street, Nungambakkam, Chennai","['Desserts', ' Ice Cream']",500.0,4.8,1516
62,https://www.zomato.com/chennai/eatza-pizza-nungambakkam,EATZA PIZZA," 7, Jaganathan Road, Opposite Vijay TV Office, Nungambakkam, Chennai","['Pizza', ' Fast Food']",600.0,3.7,1135
63,https://www.zomato.com/chennai/samco-velachery,SAMCO," 21/33, Velachery Main Road, Velachery, Chennai","['Arabian', ' Chinese', ' North Indian', ' Seafood']",800.0,4.3,1078
64,https://www.zomato.com/chennai/sree-akshayam-anna-nagar-east,SREE AKSHAYAM," AJ 6, 4th Avenue, Shanthi Colony, Anna Nagar East, Chennai","['South Indian', ' North Indian', ' Chinese', ' Chettinad', ' Kebab']",700.0,4.3,1225
65,https://www.zomato.com/chennai/biriyani-palace-porur,BIRIYANI PALACE," 116, Bazar Road, Kundrathur, Porur, Chennai","['North Indian', ' Chinese', ' Biryani', ' Kebab']",600.0,4.0,849
66,https://www.zomato.com/chennai/pumpkin-tales-alwarpet,PUMPKIN TALES," 37/20, Bheemanna Garden Street, Alwarpet, Chennai","['Singaporean', ' American', ' European', ' Continental', ' Bakery']",1800.0,4.5,768
67,https://www.zomato.com/chennai/sandys-chocolate-laboratory-nungambakkam,SANDY'S CHOCOLATE LABORATORY," 16, Wallace Garden, 2nd Street, Nungambakkam, Chennai","['Cafe', ' Continental', ' Italian', ' Desserts']",1400.0,4.5,2252
68,https://www.zomato.com/chennai/hotel-saravana-bhavan-perungudi,HOTEL SARAVANA BHAVAN," 111/141, Near Kandanchavadi Bus Depot, Old Mahabalipuram Road (OMR), Perungudi, Chennai","['North Indian', ' South Indian', ' Desserts', ' Beverages', ' Mithai']",550.0,2.7,854
69,https://www.zomato.com/chennai/little-italy-besant-nagar,LITTLE ITALY," E-50, 17th Cross Street, Lane Before Spencers Daily, Besant Nagar, Chennai","['Italian', ' Mexican', ' Salad']",1500.0,4.7,1349
70,https://www.zomato.com/chennai/ciclo-cafe-kotturpuram,CICLO CAFE," 47, Gandhi Mandapam Road, Kotturpuram, Chennai","['Cafe', ' Italian', ' American']",1100.0,4.3,1943
71,https://www.zomato.com/chennai/deen-biriyani-aminijikarai,DEEN BIRIYANI," 687/7, P.H Road, Aminijikarai, Chennai","['Biryani', ' South Indian', ' North Indian', ' Chinese']",500.0,3.9,460
72,https://www.zomato.com/chennai/big-bang-theory-bar-kitchen-kodambakkam,BIG BANG THEORY - BAR & KITCHEN," Brown Star Boutique Hotel, 2/25, Dr. Ambedkar Road, Kodambakkam, Chennai","['American', ' Continental']",1600.0,4.1,1262
73,https://www.zomato.com/chennai/onesta-semmancheri,ONESTA," 3/62, 2nd Floor, Tech Pump Towers, Kumaran Nagar, Semmancheri, Chennai","['Pizza', ' Italian', ' Fast Food', ' Beverages', ' Desserts']",600.0,4.4,5407
74,https://www.zomato.com/chennai/fusilli-reasons-kilpauk,FUSILLI REASONS," 2/64, Ormes Main Road, Kilpauk, Chennai",['Fast Food'],400.0,4.7,3042
75,https://www.zomato.com/chennai/food-finger-royapuram,FOOD @ FINGER," 123, MS Koil Street, Royapuram, Chennai","['North Indian', ' Biryani', ' Chinese', ' Chettinad', ' Rolls', ' Desserts', ' Beverages']",700.0,4.1,1096
76,https://www.zomato.com/chennai/shri-rajasthani-dhaba-anna-nagar-west,SHRI RAJASTHANI DHABA," C 40, 3rd Floor, 2nd Avenue, Opposite KFC, Anna Nagar West, Chennai","['Rajasthani', ' North Indian']",500.0,4.5,983
77,https://www.zomato.com/chennai/lucky-da-punjabi-dhabba-perungudi,LUCKY DA PUNJABI DHABBA," 4/418, Ground Floor, MGR Salai, Kandanchavadi, Perungudi, Chennai",['North Indian'],900.0,4.3,771
78,https://www.zomato.com/chennai/al-najeeb-nawab-of-kebab-kilpauk,AL-NAJEEB NAWAB OF KEBAB," Families Complex, Medavakkam Tank Road, Kilpauk, Chennai","['North Indian', ' Mughlai', ' Chinese', ' Seafood']",500.0,4.1,345
79,https://www.zomato.com/chennai/skewered-valasaravakkam,SKEWERED," 103/1, Ground Floor, Arcot Road, Valasaravakkam, Chennai","['North Indian', ' Fast Food', ' Beverages']",400.0,4.3,585
80,https://www.zomato.com/chennai/burger-king-velachery,BURGER KING," Shop 40, Plot 142, Phoenix Market City, Velachery Main Road, Velachery, Chennai","['Burger', ' Fast Food', ' Beverages']",500.0,4.0,1027
81,https://www.zomato.com/chennai/biryani-house-mogappair,BIRYANI HOUSE," Plot 1410 & 1411, Thiruvalluvar Salai, Mogappair, Chennai","['Chinese', ' North Indian', ' Seafood', ' Andhra', ' Biryani']",550.0,4.1,669
82,https://www.zomato.com/chennai/shaack-anna-nagar-east,SHAACK," F-36, KG Galaxy, 2nd Avenue, Above Fab India, Anna Nagar East, Chennai","['Asian', ' Continental', ' Italian', ' Chinese', ' South Indian', ' Desserts']",900.0,4.1,1124
83,https://www.zomato.com/chennai/bazaar-all-day-diner-grand-by-grt-hotels-t-nagar,BAZAAR - ALL DAY DINER - GRAND BY GRT HOTELS," Grand by GRT Hotels, 120, Sir Thyagaraya Road, T. Nagar, Chennai","['North Indian', ' South Indian', ' Continental', ' Asian']",2500.0,4.4,1198
