Zomato URL,Name of Restaurant,Address,Cuisine,Price for 2,Dining Rating,Dining Rating Count
https://www.zomato.com/chennai/home-cooking-potheri,HOME COOKING,"2/3, Bhajana Street, Potheri, Chennai","['South Indian', ' Chinese', ' North Indian']",250,3.5,15
https://www.zomato.com/chennai/hotel-insomnia-2-porur,HOTEL INSOMNIA,"14, Second Floor, Trunk Road, Porur, Chennai",['South Indian'],500,3.4,13
https://www.zomato.com/chennai/hotel-rolex-chetpet,HOTEL ROLEX,"122, McNichols Road, Chetpet, Chennai","['North Indian', ' Chinese', ' Chettinad', ' Beverages']",600,2.9,80
https://www.zomato.com/chennai/hotel-udipi-sri-rathna-prasad-ambattur,HOTEL UDIPI SRI RATHNA PRASAD,"Chennai - Thiruttani - Renigunta Highwy, MGR Nagar, Thirumullaivoyal, Chennai",['South Indian'],250,2.9,5
https://www.zomato.com/chennai/kwality-bakery-cafe-egmore,KWALITY BAKERY CAFE,"Shop 51, Montieth Road, Egmore, Chennai","['Bakery', ' Fast Food', ' Ice Cream', ' Beverages']",400,3.0,16
https://www.zomato.com/chennai/mad-eats-chromepet,MAD EATS,"3, 6th Main Road, New Colony, Chromepet, Chennai","['Chinese', ' Beverages']",300,3.7,28
https://www.zomato.com/chennai/my-deli-welcomhotel-gopalapuram,MY DELI - WELCOMHOTEL,"Welcom Hotel, 10, Cathedral Road, Gopalapuram, Chennai","['Bakery', ' Fast Food', ' Beverages']",400,3.8,9
https://www.zomato.com/nei-idly-sambar-food-truck,NEI IDLY SAMBAR,"14, Vasu Street, Kilpauk, Chennai",['South Indian'],100,3.4,15
https://www.zomato.com/chennai/new-pamba-multicuisine-restaurant-chetpet,NEW PAMBA MULTICUISINE RESTAURANT,"Shop 1, Spurtank Road, Chetpet, Chennai","['North Indian', ' South Indian', ' Chinese', ' Beverages']",400,3.2,35
https://www.zomato.com/chennai/new-sf-taj-multi-cuisine-restaurant-royapuram,NEW SF TAJ MULTI CUISINE RESTAURANT,"78, M.S Koil Street, Royapuram, Chennai","['North Indian', ' Chettinad', ' Chinese', ' Pizza']",500,3.6,5
https://www.zomato.com/chennai/potbriyanis-ss-food-court-vadapalani,POTBRIYANIS SS FOOD COURT,"71, Sri Ayyappa Nagar, 1st Main Road, Chinmayanagar, Vadapalani, Chennai","['North Indian', ' Chettinad', ' Chinese']",500,3.5,24
https://www.zomato.com/chennai/prabha-foods-ambattur,PRABHA FOODS,"9, South Station Road, Venkatraman Nagar, Korattur, Ambattur, Chennai","['Chinese', ' Biryani']",300,3.7,35
https://www.zomato.com/chennai/roll-story-velachery,ROLL STORY,"26, Tansi Nagar, 7th Street, Velachery, Chennai","['Rolls', ' Fast Food', ' Beverages']",300,3.8,33
https://www.zomato.com/chennai/sivagangai-karuppiah-mess-t-nagar,SIVAGANGAI KARUPPIAH MESS,"63, Usman Road, T. Nagar, Chennai","['Biryani', ' Beverages', ' North Indian', ' Chinese', ' Chettinad']",350,2.9,7
https://www.zomato.com/chennai/spice-it-ibis-chennai-omr-old-mahabalipuram-road-omr,SPICE IT - IBIS CHENNAI OMR,"IBIS Chennai OMR, Near Shollinganallur Signal, Old Mahabalipuram Road (OMR), Chennai","['Tibetan', ' Mexican', ' North Indian', ' Chinese', ' Beverages']",1100,4.1,116
https://www.zomato.com/chennai/sri-annapoorna-fine-dine-mogappair,SRI ANNAPOORNA FINE DINE,"3rd Main Road, TNHB Phase 1, Mogappair, Chennai","['South Indian', ' Chinese', ' North Indian']",400,3.0,12
https://www.zomato.com/chennai/sri-balaji-bhavan-gst-road,SRI BALAJI BHAVAN,"52, Guduvancherry, GST Road, Chennai","['South Indian', ' North Indian', ' Chinese']",300,3.8,132
https://www.zomato.com/chennai/tanjore-restaurant-mylapore,TANJORE RESTAURANT,"New Woodlands Hotel, 72/75, Dr. Radhakrishnan Salai, Mylapore, Chennai",['South Indian'],300,3.4,61
https://www.zomato.com/chennai/the-bakersman-bakery-cafe-tambaram,THE BAKERSMAN - BAKERY & CAFE,"7, Mudichur Road, Krishna Nagar, Tambaram, Chennai","['Bakery', ' Fast Food', ' Desserts']",350,2.9,33
https://www.zomato.com/chennai/titanic-2-triplicane,TITANIC,"Marina Beach, Triplicane, Chennai",['Seafood'],400,3.8,97
https://www.zomato.com/chennai/vishwabala-garden-restaurant-selaiyur,VISHWABALA GARDEN RESTAURANT,"12, Sri Padmavaty Nagar Extension, Madampakkam, Chennai","['North Indian', ' Chinese']",300,3.2,6
https://www.zomato.com/chennai/achayathis-restaurant-nungambakkam,ACHAYATHIS RESTAURANT,"16/7, 7th Avenue Road, Nungambakkam, Chennai","['Kerala', ' Beverages']",200,3.8,39
https://www.zomato.com/chennai/amirunnisa-biriyani-triplicane,AMIRUNNISA BIRIYANI,"257, Pycrofts Road, Triplicane, Chennai",['Biryani'],250,3.5,127
https://www.zomato.com/chennai/apple-restaurant-hotel-apple-residency-triplicane,APPLE RESTAURANT - HOTEL APPLE RESIDENCY,"Hotel Apple Residency, 80, Opposite Kalivaner Arangam, Wallajah Road, Anna Salai, Triplicane, Chennai","['North Indian', ' South Indian', ' Chinese']",500,3.7,72
https://www.zomato.com/chennai/bakers-cafe-mylapore,BAKER'S CAFE,"112, Ramakrishna Mutt Road, Mylapore, Chennai","['Bakery', ' Fast Food', ' Sandwich', ' Ice Cream', ' Pizza']",350,3.9,123
https://www.zomato.com/chennai/bigboss-cafe-red-hills,BIGBOSS CAFE,"1/1095, Bye Pass Road, Redhills Koot Road, Red Hills, Chennai","['Fast Food', ' Pizza', ' Burger', ' Beverages']",300,3.4,23
https://www.zomato.com/chennai/bilal-biriyani-1-pallavaram,BILAL BIRIYANI,"21A, GST Road, Pallavaram, Chennai","['Biryani', ' North Indian', ' Chinese']",350,3.9,159
https://www.zomato.com/chennai/biryani-darbar-1-virugambakkam,BIRYANI DARBAR,"115, Thangal Street, Virugambakkam, Chennai","['Biryani', ' Chettinad', ' Chinese']",500,3.0,101
https://www.zomato.com/chennai/bommi-mess-t-nagar,BOMMI MESS,"254/5&6, South West Boag Road, T. Nagar, Chennai",['South Indian'],100,3.4,11
https://www.zomato.com/chennai/chamarthi-restaurant-poonamalle,CHAMARTHI RESTAURANT,"Shop 3, Hayath Plaza Building, Nambi Street, Poonamalle, Chennai","['Fast Food', ' Ice Cream', ' Juices', ' Biryani']",450,3.3,7
https://www.zomato.com/chennai/chucks-pizzeria-chengalpattu,CHUCKS PIZZERIA,"6, GST, Chengalpattu, Chennai","['Pizza', ' Italian']",400,2.0,4
https://www.zomato.com/chennai/dhivyas-kitchen-nandanam,DHIVYA'S KITCHEN,"Old 103, New 22, Canal Bank Road, C.I.T Nagar, Nandanam, Chennai","['South Indian', ' Chinese']",200,3.3,8
https://www.zomato.com/chennai/hotel-sangamam-ashok-nagar,HOTEL SANGAMAM,"1, 7th Avenue, Ashok Nagar, Chennai","['Chettinad', ' North Indian', ' Chinese', ' South Indian', ' Biryani']",700,3.1,157
